Timestamp,Username,Which best describes your gender?,Age,occupation,education,Investment,proportion,rank,rank,rank,rank,rank,rank,rank,stock_invest,factors,Investment_objective,investment_time,monitor_investment,expect_return,Preferred_avenue,Savings_objective,Reason_equity,Reason_MF,purpose_investment,Reason_gb,Reason_fd,source
2023/04/10 12:34:05 PM GMT+5:30,,Male,38,Salaried,Under Graduate,Yes,20% - 30%,5,3,6,7,7,7,6,Yes,Returns,Growth,More than 5 years,Monthly,5% - 10%,Mutual Funds,Retirement Plan,Dividend Income,Funds Diversification,Savings for retirement,Risk-free returns,Risk free,Financial Consultant
2023/04/10 1:59:59 PM GMT+5:30,,Female,33,Self-employed,Post Graduate,Yes,5% - 10%,1,7,1,2,1,7,7,No,Returns,Growth,1-3 years,Daily,5% - 10%,Fixed Deposits,Education,Dividend Income,Better Returns,Wealth creation,Safe Investment,Fixed returns,Internet
2023/04/10 2:16:17 PM GMT+5:30,,Male,33,Salaried,Post Graduate,Yes,10% - 20%,3,3,3,3,3,3,3,Yes,Returns,Income,1-3 years,Monthly,10% - 20%,Equity,Healthcare,Liquidity,Better Returns,Savings for retirement,Safe Investment,High Interest Rates,Financial Consultant
2023/04/10 2:22:39 PM GMT+5:30,,Female,31,Salaried,Professional Degree,Yes,10% - 20%,7,6,2,4,3,4,1,Yes,Returns,Capital appreciation,3-5 years,Weekly,20% and above,Mutual Funds,Retirement Plan,Liquidity,Tax Benefits,Wealth creation,Safe Investment,Risk free,Newspapers and Magazines
2023/04/10 2:25:57 PM GMT+5:30,,Male,28,Salaried,Others,No,5% - 10%,5,2,3,5,4,3,5,No,Returns,Income,1-3 years,Weekly,5% - 10%,Mutual Funds,Retirement Plan,Capital Appreciation,Better Returns,Returns,Safe Investment,Fixed returns,Internet
2023/04/10 2:30:08 PM GMT+5:30,,Male,31,Others,Others,Yes,5% - 10%,1,7,5,5,2,2,7,Yes,Risk,Capital appreciation,1-3 years,Daily,5% - 10%,Mutual Funds,Education,Capital Appreciation,Better Returns,Wealth creation,Tax Incentives,Fixed returns,Internet
2023/04/10 3:25:29 PM GMT+5:30,,Male,27,Salaried,Post Graduate,Yes,10% - 20%,7,5,3,3,7,7,3,Yes,Returns,Income,1-3 years,Monthly,20% and above,Mutual Funds,Retirement Plan,Capital Appreciation,Tax Benefits,Wealth creation,Tax Incentives,Easy to invest in FD,Internet
2023/04/10 3:44:34 PM GMT+5:30,,Female,32,Salaried,Post Graduate,Yes,5% - 10%,5,4,3,6,6,5,4,No,Returns,Growth,3-5 years,Monthly,20% and above,Mutual Funds,Education,Capital Appreciation,Tax Benefits,Savings for retirement,Risk-free returns,Fixed returns,Financial Consultant
2023/04/10 3:46:52 PM GMT+5:30,,Female,27,Salaried,Post Graduate,Yes,10% - 20%,5,5,4,5,7,4,6,Yes,Returns,Income,3-5 years,Weekly,20% and above,Fixed Deposits,Education,Capital Appreciation,Better Returns,Wealth creation,Tax Incentives,Fixed returns,Internet
2023/04/10 3:57:39 PM GMT+5:30,,Female,30,Salaried,Post Graduate,Yes,5% - 10%,4,4,2,2,2,4,3,No,Risk,Income,1-3 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Dividend Income,Tax Benefits,Savings for retirement,Safe Investment,Fixed returns,Financial Consultant
2023/04/10 4:24:52 PM GMT+5:30,,Female,30,Salaried,Professional Degree,Yes,10% - 20%,6,4,5,5,3,5,4,Yes,Returns,Growth,1-3 years,Weekly,5% - 10%,Mutual Funds,Retirement Plan,Capital Appreciation,Better Returns,Savings for retirement,Risk-free returns,Risk free,Financial Consultant
2023/04/10 4:40:30 PM GMT+5:30,,Female,39,Salaried,Post Graduate,No,5% - 10%,4,4,3,3,6,5,3,No,Returns,Growth,More than 5 years,Weekly,20% and above,Fixed Deposits,Retirement Plan,Liquidity,Better Returns,Savings for retirement,Safe Investment,Risk free,Internet
2023/04/10 4:44:35 PM GMT+5:30,,Female,36,Salaried,Post Graduate,Yes,5% - 10%,6,4,4,5,5,7,6,Yes,Returns,Income,More than 5 years,Weekly,10% - 20%,PPF - Public Provident Fund,Retirement Plan,Dividend Income,Better Returns,Savings for retirement,Tax Incentives,Risk free,Internet
2023/04/10 5:16:25 PM GMT+5:30,,Male,32,Salaried,Post Graduate,Yes,20% - 30%,7,5,3,3,3,4,5,Yes,Returns,Capital appreciation,3-5 years,Weekly,10% - 20%,Mutual Funds,Retirement Plan,Power of compounding,Funds Diversification,Wealth creation,Tax Incentives,Risk free,Internet
2023/04/10 5:17:44 PM GMT+5:30,,Male,30,Salaried,Professional Degree,Yes,5% - 10%,7,4,2,2,5,5,1,Yes,Locking period,Growth,More than 5 years,Weekly,10% - 20%,Mutual Funds,Retirement Plan,Power of compounding,Tax Benefits,Returns,Safe Investment,Fixed returns,Internet
2023/04/10 5:17:49 PM GMT+5:30,,Male,40,Salaried,Post Graduate,No,10% - 20%,6,3,4,4,4,7,5,No,Risk,Growth,3-5 years,Weekly,10% - 20%,PPF - Public Provident Fund,Education,Capital Appreciation,Better Returns,Savings for retirement,Safe Investment,Risk free,Internet
2023/04/10 5:18:19 PM GMT+5:30,,Female,30,Others,Others,No,5% - 10%,3,3,5,5,6,7,4,No,Returns,Income,3-5 years,Weekly,20% and above,Fixed Deposits,Healthcare,Dividend Income,Better Returns,Savings for retirement,Safe Investment,Risk free,Internet
2023/04/10 5:19:07 PM GMT+5:30,,Male,38,Salaried,Post Graduate,Yes,30% and above,7,7,2,3,5,7,5,Yes,Returns,Growth,More than 5 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Capital Appreciation,Better Returns,Wealth creation,Safe Investment,Risk free,Internet
2023/04/10 5:25:12 PM GMT+5:30,,Female,23,Salaried,Others,Yes,5% - 10%,5,4,4,6,5,7,7,No,Returns,Growth,3-5 years,Weekly,20% and above,PPF - Public Provident Fund,Education,Dividend Income,Better Returns,Wealth creation,Safe Investment,Risk free,Internet
2023/04/10 5:30:00 PM GMT+5:30,,Male,39,Salaried,Others,Yes,20% - 30%,6,6,5,5,4,6,7,Yes,Returns,Growth,More than 5 years,Weekly,20% and above,PPF - Public Provident Fund,Retirement Plan,Liquidity,Funds Diversification,Returns,Safe Investment,Fixed returns,Internet
2023/04/10 5:41:17 PM GMT+5:30,,Male,42,Salaried,Post Graduate,Yes,5% - 10%,6,6,2,2,1,5,6,Yes,Returns,Growth,More than 5 years,Monthly,10% - 20%,Mutual Funds,Education,Power of compounding,Better Returns,Wealth creation,Risk-free returns,Easy to invest in FD,Newspapers and Magazines
2023/04/10 5:44:54 PM GMT+5:30,,Female,42,Salaried,Post Graduate,Yes,30% and above,4,5,6,5,3,4,6,Yes,Returns,Growth,1-3 years,Daily,20% and above,Equity,Retirement Plan,Dividend Income,Tax Benefits,Savings for retirement,Risk-free returns,Risk free,Newspapers and Magazines
2023/04/10 5:52:03 PM GMT+5:30,,Female,54,Salaried,Post Graduate,Yes,20% - 30%,7,4,3,2,6,7,3,No,Risk,Growth,1-3 years,Monthly,5% - 10%,Mutual Funds,Retirement Plan,Liquidity,Better Returns,Wealth creation,Tax Incentives,Fixed returns,Financial Consultant
2023/04/10 5:53:19 PM GMT+5:30,,Male,37,Salaried,Post Graduate,Yes,10% - 20%,6,5,4,5,5,5,6,Yes,Returns,Capital appreciation,More than 5 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Liquidity,Funds Diversification,Savings for retirement,Risk-free returns,Risk free,Internet
2023/04/10 6:20:35 PM GMT+5:30,,Female,38,Salaried,Post Graduate,Yes,10% - 20%,4,3,2,1,1,1,2,No,Returns,Growth,1-3 years,Monthly,20% and above,PPF - Public Provident Fund,Retirement Plan,Power of compounding,Better Returns,Returns,Risk-free returns,Fixed returns,Internet
2023/04/10 6:25:23 PM GMT+5:30,,Male,54,Self-employed,Post Graduate,Yes,10% - 20%,5,2,3,5,6,6,4,No,Returns,Income,3-5 years,Monthly,10% - 20%,Fixed Deposits,Retirement Plan,Dividend Income,Better Returns,Wealth creation,Risk-free returns,Risk free,Newspapers and Magazines
2023/04/10 6:38:13 PM GMT+5:30,,Male,26,Salaried,Under Graduate,Yes,10% - 20%,5,5,3,7,6,4,5,Yes,Locking period,Income,3-5 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Dividend Income,Better Returns,Wealth creation,Safe Investment,Fixed returns,Financial Consultant
2023/04/10 6:44:28 PM GMT+5:30,,Male,34,Self-employed,Post Graduate,Yes,20% - 30%,5,6,1,6,4,7,5,Yes,Risk,Capital appreciation,More than 5 years,Weekly,20% and above,Equity,Retirement Plan,Capital Appreciation,Funds Diversification,Wealth creation,Risk-free returns,Fixed returns,Financial Consultant
2023/04/10 6:54:08 PM GMT+5:30,,Female,45,Salaried,Ph. D,Yes,20% - 30%,5,5,4,6,3,6,6,Yes,Returns,Growth,More than 5 years,Monthly,20% and above,Equity,Education,Power of compounding,Funds Diversification,Wealth creation,Risk-free returns,Risk free,Newspapers and Magazines
2023/04/10 6:55:30 PM GMT+5:30,,Male,30,Salaried,Post Graduate,Yes,5% - 10%,4,7,1,2,6,7,5,Yes,Risk,Capital appreciation,3-5 years,Monthly,5% - 10%,PPF - Public Provident Fund,Education,Power of compounding,Better Returns,Wealth creation,Tax Incentives,Fixed returns,Internet
2023/04/10 7:06:34 PM GMT+5:30,,Male,43,Salaried,Others,Yes,5% - 10%,4,4,2,2,6,5,2,No,Risk,Capital appreciation,More than 5 years,Monthly,10% - 20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Tax Benefits,Savings for retirement,Safe Investment,Fixed returns,Internet
2023/04/10 7:12:14 PM GMT+5:30,,Female,35,Salaried,Professional Degree,Yes,20% - 30%,4,3,5,5,6,6,5,Yes,Returns,Income,More than 5 years,Monthly,20% and above,PPF - Public Provident Fund,Retirement Plan,Dividend Income,Better Returns,Savings for retirement,Risk-free returns,Risk free,Financial Consultant
2023/04/10 7:18:05 PM GMT+5:30,,Female,30,Salaried,Post Graduate,Yes,10% - 20%,5,2,3,3,6,7,6,No,Returns,Growth,1-3 years,Monthly,10% - 20%,PPF - Public Provident Fund,Retirement Plan,Capital Appreciation,Tax Benefits,Savings for retirement,Safe Investment,Fixed returns,Internet
2023/04/10 7:20:15 PM GMT+5:30,,Female,25,Salaried,Post Graduate,Yes,10% - 20%,2,2,4,3,3,2,4,Yes,Locking period,Capital appreciation,1-3 years,Daily,5% - 10%,Mutual Funds,Education,Capital Appreciation,Tax Benefits,Wealth creation,Tax Incentives,Fixed returns,Financial Consultant
2023/04/10 7:45:21 PM GMT+5:30,,Female,23,Salaried,Post Graduate,No,10% - 20%,2,1,1,4,6,3,6,No,Returns,Income,1-3 years,Monthly,10% - 20%,Fixed Deposits,Education,Dividend Income,Tax Benefits,Returns,Safe Investment,Fixed returns,Internet
2023/04/10 7:48:41 PM GMT+5:30,,Female,24,Salaried,Post Graduate,Yes,20% - 30%,5,2,3,4,5,4,4,No,Returns,Income,1-3 years,Daily,5% - 10%,Fixed Deposits,Retirement Plan,Dividend Income,Better Returns,Returns,Risk-free returns,Risk free,Financial Consultant
2023/04/10 7:50:52 PM GMT+5:30,,Male,28,Salaried,Professional Degree,Yes,20% - 30%,6,6,5,7,4,7,7,No,Returns,Growth,3-5 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Dividend Income,Funds Diversification,Wealth creation,Risk-free returns,Fixed returns,Internet
2023/04/10 8:33:51 PM GMT+5:30,,Female,35,Salaried,Post Graduate,Yes,5% - 10%,7,4,4,4,7,7,6,No,Returns,Growth,More than 5 years,Monthly,20% and above,Mutual Funds,Retirement Plan,Capital Appreciation,Better Returns,Returns,Safe Investment,Fixed returns,Newspapers and Magazines
2023/04/10 9:51:32 PM GMT+5:30,,Female,26,Salaried,Professional Degree,No,5% - 10%,1,1,1,1,5,1,5,No,Risk,Growth,More than 5 years,Monthly,20% and above,Gold / SGBs,Retirement Plan,Capital Appreciation,Better Returns,Returns,Safe Investment,High Interest Rates,Internet
2023/04/10 10:51:59 PM GMT+5:30,,Female,39,Salaried,Professional Degree,Yes,10% - 20%,7,5,5,4,4,4,5,Yes,Returns,Growth,3-5 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Capital Appreciation,Better Returns,Wealth creation,Safe Investment,Risk free,Financial Consultant
2023/04/10 11:19:37 PM GMT+5:30,,Male,31,Salaried,Post Graduate,Yes,30% and above,7,5,4,3,2,6,2,No,Returns,Growth,More than 5 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Power of compounding,Better Returns,Wealth creation,Risk-free returns,Fixed returns,Internet
2023/04/11 5:23:08 AM GMT+5:30,,Male,70,Self-employed,Professional Degree,Yes,5% - 10%,3,4,4,6,6,7,4,Yes,Risk,Income,1-3 years,Weekly,10% - 20%,PPF - Public Provident Fund,Retirement Plan,Capital Appreciation,Funds Diversification,Savings for retirement,Safe Investment,Fixed returns,Newspapers and Magazines
2023/04/11 11:21:13 AM GMT+5:30,,Male,40,Salaried,Professional Degree,No,5% - 10%,4,4,4,4,4,7,4,No,Risk,Capital appreciation,3-5 years,Monthly,10% - 20%,PPF - Public Provident Fund,Retirement Plan,Power of compounding,Funds Diversification,Savings for retirement,Risk-free returns,Fixed returns,Newspapers and Magazines
2023/04/11 12:05:11 PM GMT+5:30,,Female,23,Student,Others,Yes,10% - 20%,6,3,6,7,4,4,5,Yes,Returns,Growth,3-5 years,Weekly,10% - 20%,Mutual Funds,Education,Capital Appreciation,Funds Diversification,Wealth creation,Risk-free returns,Fixed returns,Internet
2023/04/11 12:34:49 PM GMT+5:30,,Female,28,Salaried,Professional Degree,No,10% - 20%,7,2,4,6,5,6,6,No,Returns,Income,1-3 years,Weekly,20% and above,Mutual Funds,Healthcare,Liquidity,Better Returns,Savings for retirement,Risk-free returns,Easy to invest in FD,Internet
2023/04/11 8:02:44 PM GMT+5:30,,Female,35,Salaried,Post Graduate,No,10% - 20%,5,3,2,3,6,7,7,Yes,Returns,Capital appreciation,1-3 years,Daily,10% - 20%,Mutual Funds,Retirement Plan,Capital Appreciation,Better Returns,Savings for retirement,Risk-free returns,Fixed returns,Internet
2023/04/11 9:31:52 PM GMT+5:30,,Male,57,Salaried,Post Graduate,Yes,20% - 30%,7,6,4,5,1,3,3,Yes,Returns,Capital appreciation,3-5 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Capital Appreciation,Better Returns,Savings for retirement,Risk-free returns,Fixed returns,Newspapers and Magazines
2023/04/11 9:55:19 PM GMT+5:30,,Male,23,Salaried,Post Graduate,Yes,20% - 30%,5,6,4,3,3,4,4,Yes,Returns,Growth,3-5 years,Daily,20% and above,Equity,Retirement Plan,Power of compounding,Tax Benefits,Returns,Safe Investment,Risk free,Newspapers and Magazines
2023/04/11 9:56:42 PM GMT+5:30,,Male,21,Student,Professional Degree,Yes,5% - 10%,7,5,5,5,4,6,6,Yes,Returns,Capital appreciation,1-3 years,Weekly,10% - 20%,Mutual Funds,Retirement Plan,Power of compounding,Better Returns,Hedging against inflation,Risk-free returns,Risk free,Internet
2023/04/11 9:57:25 PM GMT+5:30,,Male,19,Student,Under Graduate,Yes,20% - 30%,5,2,7,5,3,6,5,Yes,Returns,Growth,More than 5 years,Monthly,10% - 20%,Equity,Healthcare,Dividend Income,Funds Diversification,Returns,Risk-free returns,Risk free,Newspapers and Magazines
2023/04/11 9:57:39 PM GMT+5:30,,Male,20,Student,Under Graduate,Yes,5% - 10%,5,5,3,5,5,5,4,Yes,Risk,Capital appreciation,1-3 years,Monthly,20% and above,Equity,Education,Capital Appreciation,Better Returns,Wealth creation,Safe Investment,Fixed returns,Internet
2023/04/11 10:03:05 PM GMT+5:30,,Male,19,Student,Under Graduate,No,5% - 10%,5,6,6,7,7,5,5,No,Returns,Income,1-3 years,Monthly,10% - 20%,PPF - Public Provident Fund,Education,Liquidity,Better Returns,Wealth creation,Safe Investment,Fixed returns,Internet
2023/04/11 10:03:29 PM GMT+5:30,,Male,24,Student,Post Graduate,Yes,5% - 10%,7,7,5,7,7,7,7,Yes,Returns,Capital appreciation,3-5 years,Monthly,10% - 20%,Equity,Healthcare,Capital Appreciation,Tax Benefits,Savings for retirement,Safe Investment,Risk free,Internet
2023/04/11 10:18:19 PM GMT+5:30,,Male,20,Student,Under Graduate,Yes,10% - 20%,7,5,4,2,2,3,4,Yes,Returns,Capital appreciation,1-3 years,Daily,10% - 20%,Mutual Funds,Retirement Plan,Dividend Income,Tax Benefits,Returns,Safe Investment,Fixed returns,Internet
2023/04/11 10:24:01 PM GMT+5:30,,Male,21,Student,Under Graduate,No,5% - 10%,7,7,6,4,2,4,7,No,Returns,Capital appreciation,1-3 years,Daily,20% and above,Equity,Education,Capital Appreciation,Better Returns,Wealth creation,Tax Incentives,Risk free,Financial Consultant
2023/04/11 10:35:49 PM GMT+5:30,,Male,18,Student,Under Graduate,No,20% - 30%,4,7,6,6,5,5,5,Yes,Returns,Income,3-5 years,Monthly,10% - 20%,Equity,Healthcare,Dividend Income,Tax Benefits,Returns,Tax Incentives,Risk free,Internet
2023/04/11 10:38:17 PM GMT+5:30,,Male,18,Student,Under Graduate,No,10% - 20%,6,6,5,6,6,6,6,No,Returns,Growth,More than 5 years,Weekly,10% - 20%,Equity,Education,Power of compounding,Tax Benefits,Returns,Risk-free returns,Risk free,Newspapers and Magazines
2023/04/11 11:32:36 PM GMT+5:30,,Male,18,Student,Under Graduate,No,20% - 30%,5,5,4,6,3,3,2,No,Returns,Capital appreciation,3-5 years,Monthly,20% and above,Equity,Healthcare,Capital Appreciation,Tax Benefits,Returns,Safe Investment,High Interest Rates,Internet
2023/04/12 12:43:56 AM GMT+5:30,,Male,22,Student,Post Graduate,Yes,5% - 10%,4,6,4,4,2,5,5,Yes,Returns,Capital appreciation,1-3 years,Weekly,20% and above,Equity,Healthcare,Capital Appreciation,Funds Diversification,Returns,Safe Investment,Fixed returns,Financial Consultant
2023/04/12 12:48:38 AM GMT+5:30,,Male,27,Student,Post Graduate,Yes,5% - 10%,7,7,7,7,7,7,7,Yes,Locking period,Income,More than 5 years,Daily,10% - 20%,PPF - Public Provident Fund,Healthcare,Power of compounding,Tax Benefits,Hedging against inflation,Safe Investment,Easy to invest in FD,Financial Consultant
2023/04/12 12:50:59 AM GMT+5:30,,Male,23,Student,Post Graduate,Yes,10% - 20%,4,5,4,5,4,6,5,Yes,Returns,Capital appreciation,3-5 years,Weekly,10% - 20%,Gold / SGBs,Retirement Plan,Power of compounding,Tax Benefits,Savings for retirement,Risk-free returns,High Interest Rates,Financial Consultant
2023/04/12 2:02:12 AM GMT+5:30,,Male,19,Student,Under Graduate,No,10% - 20%,4,5,5,4,2,3,4,No,Returns,Capital appreciation,3-5 years,Weekly,20% and above,Mutual Funds,Retirement Plan,Dividend Income,Better Returns,Savings for retirement,Safe Investment,Easy to invest in FD,Internet
2023/04/12 8:07:57 AM GMT+5:30,,Male,25,Salaried,Post Graduate,Yes,20% - 30%,4,6,6,7,7,7,7,No,Returns,Capital appreciation,1-3 years,Monthly,10% - 20%,Fixed Deposits,Retirement Plan,Power of compounding,Tax Benefits,Hedging against inflation,Safe Investment,Fixed returns,Internet
2023/04/12 9:36:48 PM GMT+5:30,,Female,42,Self-employed,Others,Yes,30% and above,3,6,2,7,4,6,5,Yes,Risk,Capital appreciation,3-5 years,Monthly,10% - 20%,Equity,Retirement Plan,Capital Appreciation,Tax Benefits,Wealth creation,Safe Investment,Fixed returns,Financial Consultant
2023/04/12 10:52:26 PM GMT+5:30,,Male,30,Salaried,Post Graduate,No,5% - 10%,5,5,4,5,6,4,5,No,Returns,Income,More than 5 years,Daily,10% - 20%,Fixed Deposits,Retirement Plan,Dividend Income,Better Returns,Savings for retirement,Risk-free returns,High Interest Rates,Internet
2023/04/13 9:50:52 AM GMT+5:30,,Female,33,Salaried,Post Graduate,Yes,20% - 30%,5,3,4,6,5,3,5,No,Returns,Capital appreciation,3-5 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Capital Appreciation,Better Returns,Wealth creation,Risk-free returns,Fixed returns,Newspapers and Magazines
2023/04/13 7:26:53 PM GMT+5:30,,Female,25,Student,Under Graduate,Yes,10% - 20%,4,5,3,3,4,7,5,Yes,Returns,Capital appreciation,1-3 years,Daily,10% - 20%,PPF - Public Provident Fund,Retirement Plan,Power of compounding,Funds Diversification,Returns,Risk-free returns,Fixed returns,Newspapers and Magazines
